Raman shift [1/cm],AT1,AT2,AT3,AT4,AT7,AT8,AT9,AT10,AT11,AT12,AT13,AT14,AT15,AT16,AT17,AT18
968,49.16638672,269.5449405,145.1774315,243.9305363,0.006229263,1125.288209,161.7502014,202.4882542,148.5845838,13737.7581,8.161380159,8867.463824,643.5363954,284.32298,159.2013582,770.4536426
966,47.96686196,306.4356862,94.79591817,272.0661191,0.056563201,1154.895268,192.3509613,209.7717475,150.9873906,13650.7179,10.83782443,8762.3083,645.163217,229.6535506,188.5967355,609.0386449
964,44.67984121,302.5392854,65.63096339,241.8158484,0.082671163,1188.057822,156.2272078,210.2976607,173.4234418,13599.57902,14.78674756,8662.51779,625.8738724,169.9508181,192.3870837,550.5600318
962,45.66437742,288.8864321,102.810854,222.5914219,0.032563854,1218.471451,165.7012556,225.6856656,149.9672725,13632.6727,25.49354589,8597.870651,577.6838059,140.097933,164.9613812,548.3479163
960,56.09400336,320.9896535,148.4130456,212.2998249,0.075118931,1213.501158,248.6606868,256.2563747,156.8284144,13646.16473,37.91536159,8547.790376,517.7984619,146.1896531,164.0112976,474.5456216
958,52.55042181,353.0424609,137.7238943,207.0646115,0.167727312,1193.559348,270.6268148,216.1483637,168.1976254,13538.96647,36.5018423,8468.300249,477.0873648,158.8365136,169.5160051,441.4255614
956,28.26646304,340.7527703,103.6673813,231.2253947,0.13385408,1204.122355,193.9958583,123.8495022,136.10192,13396.00693,23.7271283,8373.608533,462.1909445,153.4506456,139.8967901,513.3927419
954,18.80427689,335.1976323,118.7864557,259.9865954,0.016523116,1231.373342,163.9580102,138.0822679,156.1770348,13375.23801,19.88140467,8310.706261,438.1597066,131.5138453,125.5238832,507.0698865
952,28.27843697,329.0630836,145.034778,226.3313088,0,1237.82741,182.6483061,191.0362095,178.6354171,13383.93392,17.12039196,8236.056665,376.350219,98.77221149,129.3684888,518.2988273
950,46.86817484,334.0139812,125.5606795,192.4105672,0.077152004,1217.017537,203.3249259,177.4582779,142.5998814,13331.76006,7.770949292,8129.717993,333.0058508,87.09544077,120.037309,623.3783305
948,62.24899556,329.5022342,104.29589,225.0476041,0,1212.33061,188.2359279,142.6191191,87.2386715,13308.17951,0.052365755,8046.161325,333.1029605,116.8747472,109.7414298,699.0691883
946,62.37920284,296.7981032,119.1709663,263.7160028,0.354382316,1248.151534,153.7725648,147.4111039,80.82476936,13321.40241,0.178109779,7999.269753,322.8136657,164.4847371,112.9228798,690.2673599
944,47.15234,291.3496507,102.5128428,230.8474249,2.087401691,1272.664472,172.0452074,121.177786,124.06531,13178.51874,0,7915.013297,283.8172131,197.9392771,95.4572241,761.4682787
942,43.90804248,301.7768565,89.02787572,179.8527908,0,1233.3981,236.0044068,82.17388875,188.5456749,13001.44773,1.256735601,7821.499499,263.525275,235.9091929,94.10261087,854.5376782
940,59.61174217,285.5236716,89.05954392,172.9861984,12.09696074,1170.38128,245.727124,89.36710547,212.0197964,12911.80171,19.86104946,7740.559718,240.8088838,287.4246824,100.3113713,814.7367061
938,61.9810944,260.646388,77.02337495,208.2968453,60.28391342,1162.465766,193.8823641,125.5746682,205.3437038,12872.31397,43.19463692,7637.029768,197.5859764,353.7823849,90.28696634,692.8085815
936,42.15527703,254.0205261,69.86117306,232.2895856,96.25243567,1201.959975,170.1304723,148.2202352,228.9102462,12815.53743,53.03457672,7516.939479,167.3465354,448.1491372,76.67354748,654.167521
934,48.1633086,210.9137919,100.957376,193.9807485,105.1816757,1196.403873,170.6335813,189.796813,255.3351065,12735.40371,82.3306666,7460.362327,149.4550517,562.4684234,64.55945746,660.2823251
932,64.52455641,143.1916672,113.5338899,141.2159366,120.1589304,1143.946228,177.3435978,191.4679346,256.2060161,12642.49852,132.5514677,7424.732565,165.804799,651.3185523,81.50016526,627.3287311
