Raman shift [1/cm],IF1,IF2,IF3,IF4,IF5,IF6,IF7,IF8,IF9,IF10,IF11,IF12,IF13,IF14,IF15,IF16
1606,505.5915373,293.1940647,2351.527379,749.5093371,1259.668265,134.6382108,1221.236214,1004.417344,1226.440143,2818.026612,330.0340966,1581.923558,5935.78332,3012.542161,300.6830411,137.7853233
1604,529.4075379,216.2518431,2370.327843,692.6067597,1249.2986,128.6528152,1196.05571,980.6450128,1120.008157,2815.921238,363.9934292,1495.702832,5919.652331,2967.373646,312.8027618,166.3467513
1602,566.9118018,290.9571662,2405.216468,658.9383561,1269.342942,130.6079693,1227.799094,969.0677423,1068.248772,2717.584937,363.4406531,1505.0844,5977.893282,2928.59582,320.4533543,147.8751105
1600,543.9880313,355.1923154,2407.335781,692.5701641,1224.663722,132.784069,1246.165195,909.4724316,1082.280412,2599.664865,327.750234,1532.420376,5976.499732,2920.887345,354.9681878,117.9056251
1598,486.2069019,241.2046284,2393.372166,728.2510188,1236.557888,134.3124083,1208.853852,820.761372,1028.386325,2573.744023,363.6799283,1432.227429,5885.900366,2937.862217,438.5476773,112.0375024
1596,458.5683679,203.956087,2383.109274,706.5531991,1276.970834,163.3336919,1150.720943,835.1532699,948.9015818,2524.606298,368.1561108,1321.653126,5866.554488,2881.070862,464.0296981,138.8088249
1594,458.9777358,245.6019935,2377.894674,656.0027765,1233.989655,194.1520099,1129.672794,933.7890463,878.8365361,2429.430027,299.395214,1291.255005,5921.397024,2777.139875,367.5539274,167.4726785
1592,443.0440876,150.6019265,2381.484697,639.68394,1144.137142,195.2139352,1154.961655,946.0869753,795.5354868,2424.912217,299.565624,1259.592906,5933.072336,2760.027243,273.5399924,184.0945916
1590,427.2049404,160.2741577,2409.133117,646.2468166,1096.861658,230.5184349,1200.522947,899.5878528,840.2856198,2444.233929,350.5624884,1238.023307,5979.466584,2820.904723,325.2038811,226.5527886
1588,442.9826203,254.3261583,2430.512158,592.9911568,1065.34682,260.9855694,1227.190971,879.9268655,903.8905458,2397.989462,322.9756245,1236.028726,6050.170134,2874.064875,349.3077297,253.1493231
1586,452.7137788,260.2900422,2442.134329,551.5706016,1034.18526,234.8525648,1189.931305,849.1256034,797.370043,2334.712485,247.4015016,1205.193907,6134.413586,2873.909764,320.1788057,248.8281046
1584,414.46097,195.2429909,2455.321129,574.737206,990.3820615,183.9522013,1137.591427,817.7655171,672.5206595,2300.287571,221.1260802,1172.826009,6222.625994,2847.516569,359.3341687,250.1157562
1582,364.0020445,191.6621915,2452.902565,563.8708715,912.9436384,171.3058068,1162.357216,865.2938313,738.6168127,2263.615932,226.0732657,1210.783044,6276.207173,2834.052158,373.8841577,247.055588
1580,350.0812377,170.835143,2461.347521,571.9150239,862.4096937,216.362497,1201.762354,884.6679829,674.5294049,2259.391788,212.9471208,1196.457141,6325.460042,2848.208319,232.1237348,195.4110994
1578,361.6928163,129.4246991,2488.372384,557.260167,784.7603175,245.2363406,1218.977535,804.5531548,583.7069272,2187.634692,167.1839162,1078.035852,6324.440394,2850.701389,188.5030527,197.5332657
1576,371.5466624,108.3657582,2480.047552,473.9812548,695.1054292,228.6059407,1216.964548,710.6587063,611.8375813,2052.277991,147.6232445,999.4683649,6244.817854,2822.613126,277.5134223,246.2925261
1574,366.0461078,111.6772823,2428.671984,430.6025837,691.7259035,226.94017,1225.328342,676.0400314,612.7196258,1951.52114,178.9058871,1012.298949,6161.22748,2789.399449,250.2940534,248.3589641
1572,330.566571,148.5797195,2401.685386,490.5989704,730.0859452,235.869512,1272.371813,612.6567187,546.7868141,1838.255202,188.8145848,935.0088565,6117.781973,2751.553569,145.0633067,253.5903139
1570,279.2309898,175.6732926,2378.347434,460.264256,693.2596148,166.0120463,1219.017923,556.9135713,519.474427,1733.05607,164.0793083,824.0349163,6041.83156,2699.759177,178.1630198,222.5376878
1568,262.9860669,150.1231435,2378.726031,429.4226749,670.3164155,116.1089423,1086.938069,572.9236038,475.9437332,1735.110187,127.9420831,761.8626629,6040.919675,2617.008884,221.1553787,156.2532586
1566,277.7556253,116.4970908,2371.756461,458.7914473,702.8432411,152.9173231,1069.470952,559.191905,421.4363963,1729.613575,103.3492087,713.7388659,6084.158851,2553.652764,164.3571381,140.4223223
1564,268.3464671,123.0723977,2314.59903,406.1791525,666.3824832,185.3382135,1180.082335,454.9913737,451.0289166,1592.318769,99.02660482,651.290967,5977.931966,2581.989395,179.6543529,167.5559815
1562,249.623874,130.8674477,2332.012526,377.6624,588.1911338,215.092332,1194.396142,453.971173,471.3411883,1574.067713,103.1819632,622.269635,5873.857999,2618.143679,242.6683292,130.0122691
1560,268.9721936,165.3940994,2352.594447,434.6652545,566.1665816,238.3334801,1129.215864,478.5004638,478.70011,1546.811803,109.9709242,637.3891741,5910.150477,2579.720118,182.4265446,176.4501787
1558,294.6263016,203.4704482,2308.517189,454.1519964,551.0020928,194.6717159,1090.52658,424.5059447,518.2124186,1445.129942,143.1032347,610.7789149,6000.001444,2562.350441,82.91608993,247.4687419
1556,281.6588523,182.2785394,2291.091868,402.7338619,520.3435225,121.3365238,1084.331408,382.0342864,593.7400319,1417.02669,170.6366031,514.2300884,6024.247635,2598.38057,82.67779545,176.1822691
1554,253.2964684,126.8757761,2340.519916,421.5901287,573.7221763,136.2066831,1074.946482,425.7686552,646.8587314,1412.902803,125.342649,467.2578495,5984.621389,2553.07404,102.9098513,89.91865904
1552,203.8773639,142.2691634,2329.431585,482.8495458,588.9693823,146.7344308,1104.210971,393.8562128,594.6286199,1252.666929,89.25524135,460.3831042,5905.063947,2471.668855,125.2025909,144.095787
1550,158.1352523,158.7359801,2294.083032,514.4690117,535.7571758,114.5616624,1124.399366,297.7392757,508.8502459,1136.194562,67.80297935,405.00049,5848.215548,2402.41008,93.75497329,255.0388478
1548,163.1930992,109.8886433,2277.938399,487.495019,497.5013871,100.2729177,1068.15303,283.6749744,502.0953915,1125.234442,73.68640785,360.8196891,5830.823923,2333.792452,71.81322249,235.9415338
1546,195.0869365,81.87859312,2238.432676,438.6360557,490.8800021,129.9608434,1012.568132,346.2937768,544.1630458,1070.856882,146.5338434,378.3629924,5817.617583,2264.034303,131.178307,119.6835903
1544,173.4665748,121.1963307,2183.932758,427.352286,485.7951269,161.3636575,1062.423131,342.8807028,519.1392685,1060.153982,193.6884684,335.3363025,5764.990613,2228.637006,138.1115348,149.0605401
1542,146.5794076,133.1996527,2143.888396,432.7706544,539.2016805,144.0605107,1046.35548,308.5442949,452.0142099,1052.975682,153.3155495,308.9233873,5657.307206,2233.741806,156.4944875,204.3017867
1540,141.5091868,139.3478084,2157.900378,406.002328,523.5138918,92.53072666,973.5535855,316.3431031,438.7349338,986.3410331,123.4109525,342.7000043,5590.501077,2238.307974,227.6261581,167.2846864
1538,156.3183408,155.8861093,2170.480493,388.0311028,403.9135147,69.3470512,967.298435,321.7478334,506.663704,877.6924548,130.5416086,395.3558315,5597.627826,2222.57511,246.1223859,161.4812897
1536,193.6103679,129.5278756,2103.56519,419.449809,356.459334,86.69617522,972.4267334,266.2450001,572.7421921,803.7349872,91.26714107,456.1625033,5614.985161,2215.893578,197.1789223,225.7210947
1534,189.2524046,151.3422007,2056.099922,373.1450855,343.8004303,102.0673359,912.7620366,246.4119548,538.9981067,852.446439,52.64799984,528.3487501,5663.286399,2219.388537,216.6830161,161.0286804
1532,163.5450173,186.9438021,2049.941522,308.7483213,281.7687587,96.71386578,881.919565,265.0292022,484.2918206,861.0384394,22.48893806,541.6380574,5668.944803,2206.248196,176.8796946,115.3708183
1530,185.4409739,162.1780419,2052.748073,375.2428263,229.2828136,87.8535576,870.245438,238.705018,530.848638,761.3478559,1.941891852,553.4560445,5596.57916,2186.713394,96.1731238,188.4652209
1528,211.5574174,106.0417718,2069.076075,488.7926503,219.8401872,91.54448226,802.0157139,176.0732604,594.3569765,655.787155,0,615.046405,5510.653506,2159.863445,105.0935367,231.5403074
1526,166.6562575,94.13695087,2085.362183,431.476511,160.0934394,90.29582827,740.8474905,169.0790449,516.7943325,531.9689918,1.508977133,591.667708,5430.004376,2092.871949,126.9573475,163.300387
1524,199.9986223,160.617895,2032.064158,315.4592364,114.1424074,100.2974776,717.9993435,193.0928648,493.8089934,417.3889389,3.251823716,512.2859246,5273.781476,2047.17531,134.5855485,149.0982332
1522,276.5622364,214.0803832,1943.405199,291.2676113,117.7325929,122.0724283,694.7614671,221.936212,549.1628892,459.3745027,7.868018797,515.2004826,5106.18176,2020.487469,173.5160965,209.5277668
1520,284.2981488,202.2153995,1871.89863,333.618716,157.124211,105.2012008,653.1158109,224.5878709,524.4188885,508.3778377,42.30820939,508.8130816,4986.248475,1969.315582,211.1052655,235.1507739
1518,254.6612577,180.1432985,1811.321594,356.1793791,215.0990288,59.73671781,604.1847194,190.2697226,441.6906751,372.362641,109.5840963,387.5703347,4838.653815,1889.749395,197.0268935,206.5676629
1516,240.0954011,145.3096233,1748.144503,378.2047135,238.3385392,77.52490222,531.0223898,178.2823748,470.6920546,312.7783339,130.9565937,374.0609673,4631.124902,1787.829349,214.8505505,163.9850494
1514,215.0521162,159.6134931,1670.813791,386.7633568,189.989058,98.30751248,470.7839152,159.9518759,498.5151341,367.7009517,55.73946411,385.0895623,4474.276584,1690.264527,273.6806968,127.4859374
1512,195.1213951,220.4051823,1593.664274,352.7695416,149.5250994,87.26605334,464.6758816,166.9557811,492.4032627,371.2701468,35.69800399,311.3759675,4349.713137,1636.775614,308.6053942,136.8391967
1510,175.9977177,195.9279767,1523.910215,320.7186729,171.2320995,83.30180839,452.3309926,211.7344302,512.7542481,303.7238126,113.4883146,273.2077322,4212.016132,1612.04172,287.7271791,146.1705772
1508,128.351455,75.12859197,1458.863891,358.0364181,210.9328958,101.4722391,375.0552003,188.3748922,518.4503772,304.4169446,104.9499149,344.3847425,4108.07079,1573.868913,265.0031693,93.43888385
1506,140.1138518,66.35742078,1426.987032,415.2302342,272.7157412,117.4462195,374.2033559,101.4539089,487.2300296,324.3720128,63.91305095,311.3184032,3948.098245,1535.214582,319.247126,98.9157724
1504,165.4224419,106.7224094,1426.573859,441.0602506,248.882321,96.78693766,419.3432303,98.97375788,451.1921565,340.0435058,101.897603,279.9936093,3770.78895,1447.429608,411.4099899,130.4549
1502,144.7476497,121.5813622,1381.263028,443.3516268,189.330106,71.08592575,387.447532,123.6236403,428.970292,396.0086286,127.6454071,332.6865719,3685.397352,1338.662103,434.906681,141.4342384
1500,114.4224255,144.7545442,1259.740117,434.952527,236.1889655,91.2032193,322.8578149,91.31474134,432.4202239,460.1675909,74.62967329,366.3425671,3661.885253,1283.867045,395.145908,162.7944831
1498,106.0220055,149.2911728,1165.04258,402.3190494,291.936602,128.207205,352.6285303,160.6279137,480.0215073,477.2844723,82.13215252,403.3967835,3599.643145,1260.433852,392.250616,186.2675716
1496,117.4744437,130.0392469,1147.042439,393.8172332,246.9822754,133.53681,391.1021897,260.0992192,519.0521077,619.4884056,95.92803489,497.0883306,3533.949783,1270.727726,364.1608279,208.5082342
1494,135.0526793,114.2134185,1169.497265,407.1210455,187.0447623,128.9137438,456.7177039,262.3263628,579.6142508,793.0990955,58.68929835,590.6785426,3486.930499,1306.233133,311.7526739,247.9051746
1492,148.8007253,116.83048,1188.674391,421.420299,169.8668142,130.9803233,548.4062963,235.1589113,666.1229576,822.0078275,13.19831479,643.3373092,3475.926408,1316.431341,334.9286334,275.4939771
1490,170.1225777,117.9351381,1195.800887,458.8801053,169.6054108,118.6486485,561.2370908,270.4555955,730.4952666,782.4246823,7.282702817,680.5425312,3489.718318,1284.875401,416.3438982,256.8279623
1488,203.921939,110.9127085,1200.673637,511.0415222,237.5397117,111.1526678,525.277261,243.6663232,824.6407471,793.2678752,17.30009792,714.1130957,3445.712672,1258.771826,384.052903,242.1194846
1486,241.2124093,156.927298,1202.206874,509.8849646,296.6825355,121.6274579,474.8202803,197.1443959,867.3256794,776.9056238,28.18335768,764.6156945,3365.214729,1208.827459,295.8462008,264.5567081
1484,255.4204803,187.7117884,1162.692172,476.350224,350.1335206,120.696844,420.0927713,188.9342427,841.6598029,729.2400359,23.82664915,788.7015012,3180.232546,1124.251853,296.7901208,259.2983269
1482,231.6818019,126.4268206,1070.364254,474.1778995,448.9064739,110.7752515,363.948877,174.1609661,827.2032147,715.3341128,31.41271817,764.1724707,2882.297894,1030.326822,385.0413912,203.4109336
1480,209.8334152,82.99942723,970.0467623,489.5073379,531.5192861,143.1768594,292.621776,128.4578405,823.1007665,699.4281168,99.42136706,726.6118445,2637.833806,925.5917894,458.3444172,181.3096265
